feedforward_weight,lstm_weight,rmse,mae,r2
0.67,0.32999999999999996,15.378542601590384,8.388947044316817,0.969115080862265
0.68,0.31999999999999995,15.383363166062278,8.396470731235054,0.969095715427946
0.6900000000000001,0.30999999999999994,15.388444298149299,8.404149559552039,0.9690752966568873
0.7000000000000001,0.29999999999999993,15.393785742795878,8.41199135321441,0.9690538245371619
0.71,0.29000000000000004,15.399387222274543,8.420054489860682,0.9690312990963242
0.72,0.28,15.405248428835803,8.428327905437785,0.9690077204313302
0.73,0.27,15.411369127431351,8.436795797058826,0.9689830882954853
0.74,0.26,15.417748990413108,8.445443514820841,0.968957402763691
0.75,0.25,15.424387523165164,8.454259771386305,0.9689306645330072
0.76,0.24,15.43128457133245,8.463244973334843,0.968902872880042
0.77,0.22999999999999998,15.438439787057915,8.472445246860325,0.9688740278103822
0.78,0.21999999999999997,15.445852798366541,8.481838628945885,0.968844129377241
0.79,0.20999999999999996,15.453523256323322,8.491422291234299,0.9688131774915938
0.8,0.19999999999999996,15.461450583391732,8.501271478602906,0.9687811729383896
0.81,0.18999999999999995,15.469634683197384,8.511337723508355,0.9687481145114872
0.8200000000000001,0.17999999999999994,15.478074961276688,8.521612532543962,0.9687140029674814
0.8300000000000001,0.16999999999999993,15.48677099410586,8.532078923298002,0.9686788383252737
0.84,0.16000000000000003,15.49572250599477,8.542725336561968,0.9686426199579871
0.85,0.15000000000000002,15.504928809121802,8.553527930571603,0.9686053488591263
0.86,0.14,15.514389677675258,8.564563619209222,0.9685670241057398
0.87,0.13,15.524104542772026,8.575890145847621,0.9685276461173334
0.88,0.12,15.53407286725071,8.587468855771915,0.968487215139858
0.89,0.10999999999999999,15.544294347395061,8.599216537732566,0.968445730426683
0.9,0.09999999999999998,15.554768321960314,8.611135105427797,0.9684031926366791
0.91,0.08999999999999997,15.565494269649376,8.623238318994195,0.9683596018169601
0.92,0.07999999999999996,15.576471759980734,8.635501990867846,0.9683149576011981
0.93,0.06999999999999995,15.587700304357858,8.647946916584395,0.9682692598149683
0.9400000000000001,0.05999999999999994,15.599179226965527,8.660565801329488,0.9682225090029035
0.9500000000000001,0.04999999999999993,15.610908070064216,8.673356230255758,0.9681747047793694
0.96,0.040000000000000036,15.622886225641546,8.6863175928101,0.9681258473285197
0.97,0.030000000000000027,15.635113105259094,8.699436663963198,0.9680759367134018
0.98,0.020000000000000018,15.647588149474993,8.712750264916325,0.9680249728375236
0.99,0.010000000000000009,15.660310843957852,8.726241575968276,0.967972955378845
1.0,0.0,15.673280467210185,8.739892640298512,0.9679198848220957
